PROBLÉM,MOŽNÁ PŘÍČINA,NOVÝ MENTÁLNÍ NÁVYK
BRONCHITIDA,"Rozjitřené rodinné
prostředí. Hádky a křik nebo
dusné ticho.","Vyhlašuji klid a harmonii v sobě
i vůkol sebe. Všechno je v pořádku."
BULIMIE,viz ANOREXIE,
BURZITIDA,"Potlačovaný hněv. Chuť
někoho uhodit.","Láska uvolňuje. Láska se zprošťuje
všeho, co je jiné než ona."
CELULITIDA,"Lpění na karambolech
minulosti. Neschopnost
vyrovnat se s křivdami
z raného dětství. Potíže při
pohybu vpřed. Strach zvolit
si vlastní směr.","Odpouštím si. Odpouštím všem.
Odpouštím všemu minulému. Jsem
svobodný."
"CESTOVNÍ
NEVOLNOST",viz KINETÓZA,
CUKROVKA,"Touha po tom, co by bývalo
bylo, kdyby. Potřeba
ovládat druhé. Nesmírný
smutek. Zatvrzelost.","Tento okamžik je plný radosti. Rád
si osladím život."
"CUSHINGŮV
SYNDROM","Mentální nevyrovnanost.
Příliš se zaobíráme
zdrcujícími myšlenkami.
Pocit přemožení a porážky.","S láskou vyvažuji své tělo i svou
mysl. Zabývám se jen myšlenkami,
které mi dělají dobře."
"CYSTICKÁ
F1BRÓZA","Utkvělá představa, že od
života nelze čekat nic
dobrého. Sebelítost.","Život mne má rád. Mám rád život.
Chci ho přijímat naplno a svobodně."
"CYSTY
(viz též PRSA)","Vzpomínky na dřívější
bolestné zážitky. Hýčkání
starých křivd. Falešný,
nesprávný růst.","Jsem rozhodnut myslet jen
na krásné věci. Mám se rád."
"ČELIST (SAMCE) -
POTÍŽE","Zloba. Zášť. Touha
po pomstě","Jsem rozhodnut změnit způsob
uvažování, který mi tento stav
přivodil. Mám se rád a jsem se sebou
spokojený. Jsem v bezpečí."
DALEKOZRAKOST,viz OČNÍ POTÍŽE,
"DÁSNĚ
(viz též KRVÁCENÍ
Z DÁSNÍ)","Neschopnost stát za svým
rozhodnutím. Rozbředlost.","Jsem rozhodný. Všechno dotahuji
do konce. Láska mi dodává sil."
DECH,"Představuje schopnost
přijímat život.",Miluji život.
DĚLOHA,Představuje sídlo kreativity.,Jsem ve své těle doma.
"DERMATOMYKÓZA
(PLÍSEŇ)","Frustrace z toho, že mě
okolí nepřijímá.
Neschopnost přirozeně
postupovat kupředu.","Mám se ráda jsem se sebou
spokojený. Mohu sám sobě dovolit jít
vpřed. Pohyb je bezpečný."
DĚTSKÉ NEMOCI,"Potíže růstu, víra
v nesprávné zákonitosti,
nesprávné společenské
pojmy a v přesně rozvržené
harmonogramy. Nedospělé
chování lidí v blízkém okolí
dětí.","Toto dítě ochraňuje Bůh a obklopuje
jej pouze láska.
Žádáme mentální imunitu."
"DIABETES
MELLITUS",viz CUKROVKA,
DNA,"Potřeba dominovat, být
nadřazený. Netrpělivost,
hněv.","Jsem v bezpečí. Jsem usmířený
se sebou i s ostatními."
"DRÁŽDIVÝ
TRAČNÍK","Navrstvené nánosy starých,
zmatečných myšlenek,
které blokují vylučovací
kanál. Zabřednutí
do lepkavého bahna
minulosti.","Zbavuji se minulosti.
Myslím zdravě a zřetelně. S radostí
a usmířeně prožívám přítomnost."
DREPANOCYTÓZA,"viz ANÉMIE, SRPKOVITÁ",
"DUŠEVNÍ
CHOROBA","Útěk od rodiny. Únik před
skutečností, stažení se do
sebe. Násilné odtržení
od života.","Tato mysl zná svou pravou
totožnost. Je vyjádřením Boží
kreativity."
DUSNOST,"Strach. Nedůvěra v proces
života. Ustrnutí v dětství.","Je bezpečné vyrůst a stát
se dospělým. Svět je bezpečný.
Jsem v bezpečí."
DUTINY,"Alergie na jednu konkrétní
osobu, na někoho blízkého.","Vždy mne prostupuje a obklopuje
klid a harmonie. Všechno je
v pořádku."
DÝCHACÍ POTÍŽE,"Strach či odmítání naplno
přijímat život. Pocit,
že nemáte právo zabírat
prostor či dokonce vůbec
existovat.","Mým přirozeným právem je žít
naplno a svobodně. Jsem hoden
lásky. Jsem rozhodnut žít naplno."
DYSPEPSIE,"Strach, hrůza, úzkost.
Nadávání a brblání.","Klidně a radostně trávím
a vstřebávám všechny nové zážitky."
"DYSTROFIE
SVALSTVA",viz SVALOVÁ DYSTROFIE,
EDÉMY,viz OTOKY,
EKZÉM,"Vnitřní protiklady. „Mentální
vyrážka''.","Ve mně i kolem mne je harmonie,
klid, láska a radost."
"ENDOKRINNÍ
POTÍŽE (viz též
ŽLÁZY)","Špatná distribuce myšlenek
podporujících rozhodnost
a aktivitu.","Bůh mi poskytuje všechny potřebné
myšlenky. Jsem aktivní. Právě nyní,
v tomto okamžiku, postupuji
kupředu."
"EPILEPSIE
EXANTÉM","Pocit perzekuce. Zavrhování
života. Obrovský vnitřní
zápas. Násilí vůči sobě.
viz VYRÁŽKA","Jsem ochoten vidět život jako věčný
a plný radosti. Jsem věčný
a usmířený. Mám radost."
"FIBROIDNÍ
NÁDORY A CYSTY","Urážka ženského ega.
Lpění na křivdě ze strany
partnera.","Zbavuji se mentálního návyku, který
vyvolal tento zážitek.
Ve svém životě vytvářím jen dobro."
FLEBITIDA,viz ZÁNĚT ŽIL,
FLUOR,viz VÝTOK,
FRIGIDITA,"Strach. Popírání rozkoše.
Přesvědčení, že sex je něco
špatného. Necitliví partneři.","Radovat se z vlastního těla
je bezpečné. Raduji se z toho,
že jsem žena."
GANGRÉNA,viz SNĚŤ,
GASTRITIDA,"Dlouhotrvající nejistota.
Pocit, že špatný osud mne
nemine.","Mám se rád a jsem se sebou
spokojený. Jsem v bezpečí."
GENITÁLIE,"Představují ženský
a mužský princip.",Je bezpečné být sám sebou.
GENITÁLIE,,
-POTÍŽE,"Obavy, že za nic nestojím,","Raduji se z toho, jak vyjadřuji život.
Jsem dokonalý takový, jaký jsem.
Mám se rád a jsem se sebou
spokojený."
GLAUKOM,viz OČNÍ POTÍŽE,
HAVÁRIE,viz NEHODY,
HEMOROIDY,"Strach z termínů. Zloba
z minulosti. Strach zbavit
se minulosti. Pocit břemene.","Zbavuji se všeho, co není láska.
Ke všemu, co chci udělat, mám dost
času i prostoru."
HEPATITIDA,viz ZÁNĚT JATER,
HERPES,viz OPAR,
HERPES ZOSTER,viz OPAR PÁSOVÝ,
HLUCHOTA,"Odmítání, tvrdohlavost,
izolace. Co nechcete slyšet ?","Naslouchám Bohu a raduji se ze
všeho, co mohu slyšet. Jsem
součástí Vesmíru."
HNISAJÍCÍ VŘED,viz ABSCES,
HNISAVÁ ANGÍNA,"Silné přesvědčení, že si
nemůžete říci o to,
co potřebujete.","Je mým přirozeným právem
uspokojit všechny své potřeby.
S láskou a spontánně si říkám
o všechno, co chci."
"HODGKINOVA
NEMOC","Provinilost a obrovský
strach, že za nic nestojíte.
Nesmírná touha prosadit se.
V honbě za uznáním
se zapomíná na radost
ze života.","Vyhovuje mi být sám sebou. Jsem
dost dobrý takový, jaký jsem. Mám
se rád a jsem se sebou spokojený.
Vydávám a přijímám radost."
HOREČKY,"Zloba, rozhořčení.","Jsem klidným a vyrovnaným
ztělesněním harmonie a lásky."
"HYPERFUNKCE
ŠTÍTNÉ ŽLÁZY",viz ŠTÍTNÁ ŽLÁZA,
HYPERGLYKÉMIE,viz CUKROVKA,
HYPERVENT1LACE,"Strach. Odpor ke změně.
Nedůvěra v běh života.","Všude ve Vesmíru jsem v bezpečí.
Mám se rád a věřím v běh života."
HYPOFÝZA,"Představuje sídlo
sebeovládání.","Má mysl a mé tělo jsou v dokonalé
rovnováze. Ovládám své myšlenky."
HYPOGLYKÉMIE,"Únava, zmoženost.
Život je příliš těžké
břemeno.","Jsem ochoten učinit svůj život
světlým, lehkým, plným radosti."
HÝŽDĚ,"Představují sílu.
Ochablé hýždě indikují
ztrátu síly.","Moudře investuji svou sílu. Jsem
silný. Cítím se bezpečně. Všechno je
v pořádku."
"CHODIDLA
CHODIDLA","Představují chápání - sebe
sama, života,ostatních.","Všemu jasně rozumím a jsem
ochoten měnit se zároveň s časem.
Jsem v bezpečí."
- POTÍŽE,"Strach z budoucnosti a z
ustrnutí na místě.","Přirozeně a s radostí postupuji
kupředu."
CHOLESTEROL,"Ucpává průchody radosti.
Strach přijímat radost.","Jsem ochoten mít rád život. Volně
mnou proudí radost. Přijímat
je bezpečné."
CHRÁPÁNÍ,"Tvrdohlavé odmítání zbavit
se starých mentálních
návyků.","Vypouštím z mysli vše, co se
nepodobá lásce a radosti.
Od minulosti směřuji ke všemu
novému, svěžímu a vitálnímu."
"CHRONICKÉ
NEMOCI","Odmítání změn. Strach
z budoucnosti.",Jsem ochoten růst a měnit se.
Pocit nejistoty.,Vytvářím si bezpečnou budoucnost.,
CHŘIPKA,"Reakce na všeobecnou
negativitu a všeobecná
přesvědčení. Strach. Víra
v pravdivost statistik.","Jsem mimo dosah společenských
předsudků.
Nepodléhám žádným vlivům."
CHUDOKREVNOST,viz ANÉMIE,
CHUŤ K JÍDLU,,
- NADMĚRNÁ,"Strach. Potřeba ochrany.
Posuzování citů.","Jsem v bezpečí. To, co cítím,
je bezpečné, normální a přijatelné."
- ZTRÁTA,"Strach. Sebeochrana.
Nedůvěra v život.","Mám se rád a jsem se sebou
spokojený. Jsem v bezpečí. Život
je bezpečný a plný radosti."
IMPOTENCE,"Sexuální tlak, napětí, vina.
Společenské předsudky.
Nevraživost vůči bývalému
partnerovi. Strach z matky.","Nechávám s radostí a spontánně
působit sílu svého pohlavního
principu."
INFARKT,"Vypuzení veškeré radosti
z těla kvůli penězům,
postavení, funkci atd.","Navracím svému srdci radost. Všemu
vyjadřuji lásku."
INFEKCE,"Podrážděnost, hněv,
rozladěnost.","Jsem rozhodnut žít v klidu
a harmonii. Tím, že pečuji o sebe,
pečuji i o své bližní. Jsem k sobě
laskavý a pozorný."
ISCHIAS,"Pokrytectví. Strach z peněz
a z budoucnosti.","Směřuji ke svému vyššímu dobru.
Mé dobro je všude a ve všem."
"INKONTINENCE
(NESCHOPNOST
UDRŽET STOLICI
ČI MOČ)","Pocit, že se citově
neovládám.",Všechno je v pořádku.
JÁTRA,"Sídlo hněvu a primitivních
emocí.","Znám pouze lásku, klid a radost."
JÁTRA - POTÍŽE,"Neustálé stížnosti
a nadávky.
Pocit, že jste špatní.
Ustavičnou kritikou jen
obelháváte sami sebe.","Hledám lásku a nacházím ji všude a
ve všem."
KANDIDÓZA,"Pocit silné roztříštěnosti.
Značná frustrace a zloba.
Přílišné nároky a nedůvěra
ve vztahu k druhým.","Zasluhuji si v životě jen to nejlepší.
Mám rád sebe i ostatní. Vážím
si sebe i ostatních."
KARBUNKL,"Jedovatá zloba na všechny
osobní křivdy.","Zbavuji se minulosti. Nechávám čas,
aby zhojil každou chvíli mého života."
KAŠEL,viz BRONCHITIDA,
"KATAR
- HORNÍCH CEST
DÝCHACÍCH",viz RÝMA,
- PRŮDUŠEK,viz BRONCHITIDA,
- ŽALUDKU,viz GASTRITIDA,
KERATIT/DA,viz ZÁNĚT OČNÍ ROHOVKY,
K1NETÓZA,"Strach, že nemám vše pod
kontrolou.","Své myšlenky ovládám v každé
situaci. Mám se rád a jsem se sebou
spokojený."
"KLMAKTERICKÉ
POTÍŽE","Strach, že už mě nikdo
nebude chtít. Strach
ze stárnutí. Zavržení sebe
sama. „Nestojím za nic.""","Při všech změnách cyklů jsem klidná
a vyvážená.
S láskou žehnám svému tělu."
KLOUBY,"Představují změny životního
směru a lehkost, s jakou
probíhají.","Snadno a přirozeně se měním.
Můj život opatruje Bůh, a proto
se vždy ubírám tím nejlepším
směrem."
KOKTÁNÍ,"Nejistota. Nedostatek
sebevyjádření. Není
dovoleno plakat.","Mohu se svobodně vyjadřovat.
Je to bezpečné."
KOLENO,Představuje hrdost a ego.,"Se všemi komunikuji jen s láskou.
Jsem pružný a přizpůsobivý."
KOLENO - POTÍŽE,"Tvrdohlavé ego. Hrdost.
Nepřizpůsobivost. Strach.
Nepružnost. Neústupnost.
Neschopnost přiznat
porážku.","Odpuštění. Pochopení. Soucit.
Snadno se přizpůsobuji.
Všechno je v pořádku."
"KOLIKA, DĚTSKÁ","Podrážděnost, netrpělivost
a rozmrzelost v blízkosti
dítěte.","Toto dítě léčí jen láska a láskyplné
myšlenky. Všechno je v pořádku."
KOLITIDA,"viz ZÁNĚT TLUSTÉHO
STŘEVA",
KOLPITIDA,viz ZÁNĚT POCHVY,
KOMA,"Strach. Útěk před někým
nebo něčím.","Obklopujeme tě bezpečím a láskou.
Vytváříme prostor, aby ses vyléčil.
Jsi láska."
KONEČNÍK,"Místo, kde se tělo zbavuje
odpadu.","Snadno a přirozeně se zbavuji
všeho, co už nepotřebuji."
- ABSCES,"Zloba spojená s tím, čeho
se nechcete zbavit.","Je bezpečné zbavovat se všeho
nepotřebného. Z mého těla odchází
jen to, co už nepotřebuji."
- BOLESTI,"Vina. Touha po trestu. Pocit,
že za nic nestojím.","Minulost skončila. Jsem rozhodnut
mít se rád a být spokojený s tím,
jaký jsem."
"- FISTULY
(PIŠTĚLE)","Neúplné vypouštění odpadu.
Lpění na odpadcích
z minulosti.","S láskou a bezezbytku se zbavuji
minulosti. Jsem svobodný. Jsem
láska."
- KRVÁCENÍ,Zloba a frustrace.,"Věřím v běh života. Vše, co se děje
v mém životě, je správné a dobré."
- SVĚDĚNI,"Vina z minulosti. Výčitky
svědomí.","S láskou si odpouštím. Jsem
svobodný."
KOPŘIVKA,"Zveličování problémů,
děláme „z komára
velblouda"". Utajovaný
strach.","Vnáším klid do každého okamžiku
svého života."
KOSTI,"Představují strukturu
Vesmíru.",Jsem dobře členěný a vyvážený.
- ZLOMENINY,"Vzpoura proti autoritě
(rodičům.partnerovi,
nadřízenému).","Jsem ve svém světě jedinou
autoritou, protože jen já ovládám
svou mysl."
- DEFORMACE,"Mentální tlak a upjatost.
Svaly se nemohou
protáhnout. Ztráta mentální
pohyblivosti.","Zhluboka vdechuji život. Uvolňuji se
a věřím v běh života."
KOTNÍK,"Představuje pohyblivost
a směr.","Snadno se pohybuji životem
kupředu."
"KOŽNÍ POTÍŽE
(vis též KŮŽE)","Úzkost, strach. Staré,
zasuté harampádí minulosti.
Pocit ohrožení.","Láskyplně se chráním harmonickými
a klidnými myšlenkami. Minulost
je odpuštěna a zapomenuta. Jsem
svobodný."
KRÁTKOZRAKOST,viz OČNÍ POTÍŽE,
"KRČNÍ PÁTEŘ (viz
též ŠÍJE)","Odmítání vidět jiné stránky
problému. Tvrdohlavost,
nepružnost.","Pružně a nenucené beru v úvahu
všechny stránky problému. Věci lze
vidět nekonečně mnoha způsoby.
Jsem v bezpečí."
KREV,"Představuje radost volně
obíhající v těle.",Dávám a přijímám radost ze života.
- POTÍŽE,"Málo radosti. Malá cirkulace
myšlenek.","Kolují ve mně radostné a nové
myšlenky."
"- ANEMICKÉ
POTÍŽE",viz ANÉMIE,
"- KREVNÍ
SRAŽENINY","Zablokovaný průchod
radosti.",Probouzím v sobě nový život. Plynu.
KREVNÍ TLAK,,
- VYSOKÝ,"Dlouhodobě nevyřešený
citový problém.","S radostí se zbavuji minulosti. Jsem
usmířený."
- NÍZKÝ,"Málo lásky v dětství.
Poraženectví. Pocit, že nic
nemá cenu, protože se to
beztak nepovede.","Jsem ochoten žít ve věčně
harmonické přítomnosti. Můj život
je radost."
KRK,"Průchod sebevyjádření
a tvořivosti.","Otevírám své srdce a zpívám
o radostech lásky."
- POTÍŽE,"Neschopnost. Polykaná
zloba. Potlačovaná
kreativita. Odmítání změn.","Vyjadřuji se s radostí, svobodně
a tvořivě. Snadno a přirozeně
se hlásím o svá práva. Jsem ochoten
se změnit."
KRVÁCENÍ,Z těla uniká radost. Zloba.,"Vyváženě dávám a přijímám radost
ze života."
"- Z DÁSNÍ
- Z KONEČNÍKU","Málo radosti z životních
rozhodnutí. viz KONEČNÍK","Věřím, že v mém životě všechno
probíhá správně. Jsem usmířený."
- Z NOSU,"Potřeba upozornit na sebe.
Pocit, že si mě nikdo
nevšímá. Touha po lásce.","Mám se rád a jsem se sebou
spokojený. Uznávám svou skutečnou
cenu. Jsem dokonalý."
KŘEČE,"Napětí. Strach. Lpění
na někom nebo na něčem.","Jsem uvolněný.
Dovoluji, aby se má mysl usmířila."
"- V KRAJINĚ
BŘIŠNÍ","Strach. Snaha zastavit běh
života.",Věřím v běh života. Jsem v bezpečí.
KŘEČOVÉ ŽÍLY,"Setrvávání v nepříjemné
situaci či postavení.
Sklíčenost.
Pocit přepracovanosti
a přetíženosti.","Spočívám v pravdě. Raduji se
z pohybu. Pohybuji se přirozeně
a spontánně. Mám život rád a raduji
se z každého okamžiku."
KŘIVICE,"Citová podvýživa.
Nedostatek lásky a bezpečí.","Jsem v bezpečí.
Živí mne láska samotného Vesmíru."
KŮŽE,"Ochraňuje naši individualitu.
Smyslový orgán.",Je bezpečné být sám sebou.
KYČLE,"Nesou tělo v dokonalé
rovnováze. Stimulují pohyb
vpřed.",Raduji se z každého dne.
- POTÍŽE,"Strach postupovat vpřed
na základě důležitých
rozhodnutí. Bezcílnost.","Jsem v dokonalé rovnováze.
V každém věku postupuji snadno a s
radostí kupředu."
KÝLA,"Roztržky. Napětí, tíha
povinnosti a zodpovědnosti.
Nesprávně směřované tvůrčí
vyjádření.","Má mysl je laskavá a harmonická.
Mám se rád a jsem se sebou
spokojený. Mohu být sám sebou."
LARYNGITIDA,"Máte takový vztek, že ani
nemůžete mluvit. Strach
promluvit nahlas. Odpor
vůči autoritám.","Mohu svobodně požádat, oč chci.
Je bezpečné vyjadřovat sebe sama.
Jsem usmířený."
"LEDVINOVĚ
POTÍŽE (viz též
ZÁNĚT LEDVIN,
BRIGHTOVA
NEMOC)","Kritika, zklamání, neúspěch.
Hanba. Reakce na úrovni
malého dítěte.","V mém životě vždy probíhá všechno
správně. Z každé mé zkušenosti
pochází jen dobro. Je bezpečné
vyrůst."
LEPRA,"Neschopnost jakkoli
zvládnout životní
zkušenosti. Dlouhodobé
přesvědčení, že nejsem dost
dobrý nebo dost čistý.","Povznáším se nad všechna omezení.
Bůh mne vede a inspiruje. Láska hojí
vše živé."
LEUKÉM/E,"Brutální ubíjení inspirace.
Pocit, že nic nemá cenu.","Přenáším se přes minulá omezení
do svobodné přítomnosti.
Je bezpečné být sám sebou."
LOKET,"Představuje změnu
a přijímání nových životních
zkušeností.","Snadno se přizpůsobuji novým
zkušenostem, směrům a změnám."
LUPENKA,"Strach, že mi někdo ublíží.
Umrtvování smyslu a ega.
Odmítání přijmout
zodpovědnost za vlastní
city.","Žiju proto, abych se radoval
ze života. Zasloužím si v životě
to nejlepší. Přijímám své dobro. Mám
se rád a jsem se sebou spokojený."
LUPUS,"Celková kapitulace. Raději
zemřít než se přihlásit o svá
práva. Zloba a trest.","Spontánně a přirozeně se beru o svá
práva. Znám svou sílu. Mám se rád
a jsem se sebou spokojený. Jsem
svobodný. Jsem v bezpečí."
"LYMFATICKĚ
POTÍŽE","Varování, že mysl
se potřebuje soustředit
na nejzákladnější životní
skutečnosti, na lásku
a radost.","Jsem zcela soustředěný na lásku
a radost ze života.
Přizpůsobuji se životu. Jsem klidný."
MALÁTNOST,viz ÚNAVA,
MALOMOCENSTVÍ,viz LEPRA,
MASTOIDITIDA,"Zloba a frustrace.
Touha neslyšet, většinou
u dětí. Strach infikující
chápání života.","Ve mně i kolem mne panuje Božský
klid a harmonie. Jsem oázou klidu,
lásky a radosti. V mém světě
je všechno v pořádku."
MDLOBY,"Strach. Neschopnost
vyrovnat se s danou situací.
„Vokno.""","Mám sílu, schopnost i znalosti na to,
abych všechno v životě zvládl."
"MENSTRUAČNÍ
POTÍŽE","Odmítání vlastního ženství.
Provinilost, strach.
Přesvědčení, že genitálie
jsou hříšné nebo nečisté.","Plně přijímám své ženství a své
tělesné pochody pokládám
za normální a přirozené. Mám
se ráda a jsem se sebou spokojená."
"MIGRÉNA
(viz též BOLESTI
HLAVY)","Znechucení z nátlaku
a manipulace ze strany
druhých. Sexuální obavy.
(Migrénu lze většinou
odstranit masturbací.)","Přizpůsobuji se běhu života.
Nechávám život, aby mi příjemně
a snadno zajistil vše, co potřebuji.
Život je tu pro mne."
"MÍŠNÍ
MENINGITIDA","Mimořádně závažný rodinný
konflikt. Život v atmosféře
zloby a strachu. Velký
vnitřní zmatek. Málo opory
ze strany druhých.","Jsem ochoten vytvářet ve své mysli,
ve svém těle i ve svém světě klid
a harmonii. Všechno je v pořádku.
Jsem v bezpečí a všichni mne mají
rádi."
"MOČOVÝ MĚCHÝŘ
(viz též URETRITIDA
a URETERITIDA)","Úzkost. Lpění na starých
myšlenkách a názorech.
Strach zbavit se minulosti.
Vztek, většinou na partnera.","Snadno a spontánně se zbavuji
starého a vítám nové. Jsem
v bezpečí."
MONILIÁZA,viz KANDIDÓZA,
MONONUKLEÓZA,"Návyk znevažovat
a bagatelizovat život,
přesvědčovat ostatní,
že nemají pravdu. Hodně
sebekritiky.","Jsem zajedno se životem.
Vidím se v druhých a to, co vidím,
mám rád. Raduji se z toho, že žiji."
MOŘSKÁ NEMOC,"Strach. Strach ze smrti.
Nedostatečné ovládání
myšlenek.","Ve Vesmíru jsem v bezpečí. Jsem
usmířený, ať jsem kdekoli. Věřím
životu."
MOUČNIVKA,viz KANDIDÓZA,
MOZEK,"Představuje „počítač"", řídící
centrum.",S láskou řídím svou mysl.
"MOZKOVÁ
MRTVICE","Kapitulace. Odpor. Raději
zemřít, než se změnit.
Zavržení života.","Život je změna a já se snadno
přizpůsobuji všemu novému.
Přijímám život - minulý, přítomný
i budoucí."
MOZKOVÝ NÁDOR,"Nesprávné,
naprogramované úsudky.
Tvrdohlavost. Odmítání
změnit staré mentální
návyky.","Snadno měním své myšlení. Celý
život je změna a má mysl
se neustále proměňuje."
"NADLEDVINKY -
POTÍŽE","Úzkost. Poraženectví.
Zanedbaná péče o sebe
sama.","Mám se ráda jsem se sebou
spokojený. Je bezpečné o sebe
pečovat."
NÁDORY,"Lpění na starých křivdách.
Rostoucí odpor.","Snadno odpouštím. Mám se rád
a odměňuji se pochvalnými
myšlenkami."
NADÝMÁNÍ,viz PLYNATOST,
NARKOLEPSIE,"Velký strach. Touha všemu
uniknout. Tvrzení typu:
„Nezvládnu to."" „Nechci
tady být.""","Spoléhám na to, že Boží moudrost
a rada mne vždy ochrání. Jsem
v bezpečí."
NARKOMANIE,"Útěk od sebe sama. Strach.
Neznalost, jak mít rád sám
sebe.","Objevuji, jak jsem dokonalý. Jsem
ochoten mít rád sám sebe. Jsem
ochoten mít ze sebe radost."
NEFRITIDA,viz ZÁNĚT LEDVIN,
NEFROSKLERÓZA,viz BRIGHTOVA NEMOC,
NEHODY,"Neschopnost brát se za svá
práva. Vzpoura proti
autoritě. Víra v násilí.","Zbavuji se návyku, který tuto situaci
způsobil. Jsem usmířený. Zasloužím
si dobro."
NEHTY,Představují ochranu.,S důvěrou vztahuji ruce.
"NEHTY, KOUSÁNÍ","Frustrace. Sžíravé
myšlenky. Nenávist
k jednomu z rodičů.","Je bezpečné vyrůst. Radostně
a lehce zvládám svůj život."
"NEHTY, VROSTLÉ
DO MASA","Vina a obavy ze svého
práva postupovat vpřed.","Je mým přirozeným právem zvolit si
v životě vlastní směr. Jsem
v bezpečí. Jsem svobodný."
"NECHUTENSTVÍ
(a CHOROBNÁ
ŽRAVOST)","Odpírání si života. Extrémní
strach, sebenenávist
a odmítavost.","Je bezpečné být sám sebou. Jsem
dokonalý takový, jaký jsem. Jsem
ochoten žít. Raduji se a beru
se takový, jaký jsem."
NEPLODNOST,"Strach a odpor vůči životu
nebo člověk, který nemá
potřebu prožít rodičovství.","Věřím v běh života. Jsem vždy
na pravém místě a dělám pravou věc
v pravý čas. Mám se rád a jsem
se sebou spokojený."
"NERVOVĚ
ZHROUCENÍ","Egocentrismus.
Zablokovaná komunikace.","Otevírám své srdce a ke všem
se obracím jen s láskou. Jsem
v bezpečí. Jsem v pořádku."
